A Party (Caller),B Party (Receiver),Call Type,Data Service,Call Date,Call Time,End Date,End Time,Duration (Seconds),IMEI,IMSI
8516457378,9250842095,SMS,,2024-02-04,13:54:11,2024-02-04,13:54:11,0,767819266945354,385209811475244
9556657702,7691248090,Data,WhatsApp,2024-01-31,16:56:28,2024-01-31,17:12:46,978,602651949358413,040230275590720
9556657702,8508598903,SMS,,2024-08-14,11:57:35,2024-08-14,11:57:35,0,456272351885690,925325580211307
9556657702,8362968611,Voice,,2024-04-23,06:50:50,2024-04-23,07:29:59,2349,191059688514263,121009149208939
9556657702,9983320543,Voice,,2024-10-03,17:23:49,2024-10-03,18:14:38,3049,452035593783635,503375103580136
9556657702,9836140903,Voice,,2024-05-22,20:35:58,2024-05-22,20:50:16,858,225674526318974,219096398809790
9556657702,8086174825,Voice,,2024-01-26,13:29:39,2024-01-26,13:54:25,1486,932370482349465,634263187375958
9556657702,7314487661,Voice,,2024-11-20,21:43:54,2024-11-20,22:36:34,3160,185244285026820,915490578702354
9556657702,9423845747,SMS,,2024-04-28,20:02:46,2024-04-28,20:02:46,0,869455676683340,574175139290065
9556657702,8345034152,SMS,,2024-09-11,09:10:35,2024-09-11,09:10:35,0,499504539607171,352673710894853
9556657702,9014238028,SMS,,2024-03-02,00:06:55,2024-03-02,00:06:55,0,444762368106163,195375470291710
9556657702,8782571635,Voice,,2024-11-04,06:38:52,2024-11-04,07:31:56,3184,985029141881466,050839346775116
8928436264,8017711532,Voice,,2024-03-08,18:03:27,2024-03-08,18:20:12,1005,198300091319536,735135468083195
8928436264,7266896464,Data,Telegram,2024-05-17,10:30:26,2024-05-17,10:32:40,134,466909063698118,276491945567025
8928436264,9560231926,Data,WhatsApp,2024-12-26,02:10:38,2024-12-26,02:15:56,318,123354347655174,661983190792139
8928436264,9861652571,Voice,,2024-12-11,17:48:40,2024-12-11,17:52:11,211,386956467724488,376629494441646
8928436264,9220200460,Voice,,2024-03-16,19:40:53,2024-03-16,20:28:05,2832,560982415634732,592931837519992
8928436264,9648693396,SMS,,2024-02-03,22:18:39,2024-02-03,22:18:39,0,339547808144380,723387289472865
8928436264,7956616645,SMS,,2024-01-27,07:36:19,2024-01-27,07:36:19,0,261167013064159,284702735201337
8928436264,9560700788,Data,Instagram,2024-11-18,09:18:01,2024-11-18,10:07:25,2964,621054207102468,811259231561075
8928436264,7483833181,SMS,,2024-11-30,21:14:57,2024-11-30,21:14:57,0,738327838943716,763519587727353
8928436264,9449194121,Voice,,2024-05-29,14:31:43,2024-05-29,14:40:36,533,959778305598409,712117709594559
8928436264,9650915173,Data,WhatsApp,2024-10-13,09:38:09,2024-10-13,10:30:31,3142,087369586657892,134611707485342
7311308080,7840952975,SMS,,2024-06-17,11:04:02,2024-06-17,11:04:02,0,143231419154679,326227502436087
7311308080,8184368116,SMS,,2024-07-20,16:41:43,2024-07-20,16:41:43,0,080043322401450,520461074790786
7311308080,9826551577,Voice,,2024-01-11,20:25:41,2024-01-11,20:57:02,1881,257479731980233,572469476580959
7311308080,8819990663,Data,Zoom Meet,2024-06-16,21:27:26,2024-06-16,21:50:37,1391,562366291376845,083258459761371
7311308080,7874858226,Voice,,2024-08-26,16:20:06,2024-08-26,16:53:01,1975,682718660662933,527285270697915
7311308080,9612900284,Data,Zoom Meet,2024-01-19,23:47:10,2024-01-20,00:29:57,2567,417432512863537,856493612912726
7311308080,7103802006,Voice,,2024-04-23,19:58:05,2024-04-23,20:34:53,2208,016396897406184,272266247206629
7311308080,7971984538,Voice,,2024-06-30,11:13:53,2024-06-30,12:10:23,3390,379400279647612,912864799000223
7311308080,8794056164,SMS,,2024-12-06,13:14:36,2024-12-06,13:14:36,0,997801377805693,495630502949403
7311308080,8765711684,Data,Instagram,2024-01-23,00:02:57,2024-01-23,00:47:58,2701,819193678093615,419564087261401
7311308080,9183704573,Voice,,2024-01-26,04:52:34,2024-01-26,04:54:13,99,275760736023899,014643570580856
7819333413,9723263547,Voice,,2024-03-23,07:05:10,2024-03-23,07:23:10,1080,181439795206231,446292333851720
7819333413,9764062993,SMS,,2024-11-05,02:44:09,2024-11-05,02:44:09,0,446610668965006,620904256094599
7819333413,9335769023,Voice,,2024-04-18,08:05:54,2024-04-18,08:23:53,1079,544155632404105,275818807882258
7819333413,9817038116,SMS,,2024-04-01,15:51:57,2024-04-01,15:51:57,0,663073793607332,260435682937147
7819333413,7149392241,Data,Facebook Messenger,2024-07-22,08:48:21,2024-07-22,09:25:51,2250,501383853800703,400222342600375
7819333413,7007911100,Data,Skype,2024-05-10,01:02:35,2024-05-10,01:52:06,2971,193322230243145,410480509350061
7819333413,7800751978,SMS,,2024-08-09,20:47:32,2024-08-09,20:47:32,0,716462339643001,130689998825557
7819333413,8667409574,SMS,,2024-07-24,13:52:18,2024-07-24,13:52:18,0,176747632909005,467758484649258
7819333413,7245014353,Data,Google Meet,2024-06-11,14:16:49,2024-06-11,14:30:45,836,112859572821146,448314629017768
7819333413,9123937072,Voice,,2024-11-15,23:19:45,2024-11-16,00:09:07,2962,578995384392414,406672424444953
7819333413,7110689964,Data,Zoom Meet,2024-10-08,05:18:07,2024-10-08,05:35:03,1016,964174387655369,321981575283310
